IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,DIM_SEX,DIM_DEG_URB,METRIC
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2012,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,22.79895
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2014,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,23.7883
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2020,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.854
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2011,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.54037
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2014,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.64429
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2021,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.88895
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2008,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,20.82024
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2021,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,25.67268
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2011,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,22.30427
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2019,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,26.19341
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2016,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.71397
