IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,DIM_SEX,DIM_AGE,METRIC,RATE_PER_100_NL,RATE_PER_100_NU
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,1993,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,21.642527,20.636585,22.679165
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2005,YEAR,422,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Lebanon,TOTAL,Y_GE18,23.021062,21.072458,25.068823
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2005,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,30.465892,29.182702,31.801763
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,1995,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,22.942565,21.928072,24.033956
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,1997,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,24.338716,23.244546,25.511283
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2012,YEAR,422,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Lebanon,TOTAL,Y_GE18,26.212105,24.198057,28.227508
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2016,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,37.41985,34.734362,40.197644
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2010,YEAR,422,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Lebanon,TOTAL,Y_GE18,25.390035,23.472273,27.389815
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,1991,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,20.514935,19.415189,21.630995
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2002,YEAR,422,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Lebanon,TOTAL,Y_GE18,21.330711,19.323613,23.454006
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2003,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,29.015076,27.734333,30.311292
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,1998,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,25.076315,23.928605,26.277643
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2000,YEAR,422,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Lebanon,TOTAL,Y_GE18,20.112112,18.064347,22.267054
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2010,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,33.777982,32.262635,35.311356
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2008,YEAR,422,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Lebanon,TOTAL,Y_GE18,24.497226,22.563179,26.47692
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2018,YEAR,422,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Lebanon,TOTAL,Y_GE18,28.414011,25.686887,31.195474
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2019,YEAR,422,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Lebanon,TOTAL,Y_GE18,28.727019,25.778154,31.809026
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2012,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,35.023317,33.235282,36.799932
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2009,YEAR,422,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Lebanon,TOTAL,Y_GE18,24.953011,23.022024,26.937824
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2008,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,32.465133,31.077266,33.88699
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2002,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,28.216675,26.947388,29.514173
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2020,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,39.571047,35.536629,43.870172
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2014,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,36.221495,34.039819,38.435423
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2006,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,31.134903,29.818496,32.487485
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2001,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,27.41352,26.145908,28.665984
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,1992,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,21.054868,20.014513,22.114944
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2000,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,26.618603,25.381762,27.855378
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2006,YEAR,422,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Lebanon,TOTAL,Y_GE18,23.532419,21.568219,25.544497
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,1993,YEAR,422,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Lebanon,TOTAL,Y_GE18,16.060805,13.769035,18.61517
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2020,YEAR,422,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Lebanon,TOTAL,Y_GE18,29.06177,25.828341,32.489738
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2011,YEAR,422,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Lebanon,TOTAL,Y_GE18,25.807884,23.845276,27.787852
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2022,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,40.599075,35.69822,45.760965
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2003,YEAR,422,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Lebanon,TOTAL,Y_GE18,21.91816,19.93185,24.028349
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2013,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,35.622826,33.658555,37.578738
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,1998,YEAR,422,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Lebanon,TOTAL,Y_GE18,18.886994,16.792259,21.152073
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2017,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,37.997967,34.998065,41.114062
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2009,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,33.127406,31.701654,34.604177
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2007,YEAR,422,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Lebanon,TOTAL,Y_GE18,24.02301,22.063752,26.02756
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,1997,YEAR,422,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Lebanon,TOTAL,Y_GE18,18.287371,16.200908,20.572866
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2019,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,39.058155,35.39249,42.93898
BEFA58BNCD_BMI_30A,NCD_BMI_30A,BEFA58B,NCD_BMI_30A,2018,YEAR,682,COUNTRY,PUBLISHED,Obesity in adults (age 18+),Saudi Arabia,TOTAL,Y_GE18,38.538772,35.24268,42.008835
