Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Timor-Leste,2021,All ages,Both,Neoplasms,"Deaths per 100,000",48.394322505093534,38.31456924465086,59.29651898009352
Tonga,2021,All ages,Both,Neoplasms,"Deaths per 100,000",117.53866764164405,95.96937973764244,144.4794608260959
Trinidad and Tobago,2021,All ages,Both,Neoplasms,"Deaths per 100,000",156.65203950326944,121.10934589898436,195.7915664589879
Tunisia,2021,All ages,Both,Neoplasms,"Deaths per 100,000",82.34214793987145,60.074640310731745,109.03303956595587
Türkiye,2021,All ages,Both,Neoplasms,"Deaths per 100,000",135.60709810280943,110.87960399674313,160.7175241993194
Tuvalu,2021,All ages,Both,Neoplasms,"Deaths per 100,000",94.962315443235,80.66092011702838,112.40816625110125
Taiwan (Province of China),2021,All ages,Both,Neoplasms,"Deaths per 100,000",235.5304569994495,215.43287201669284,250.88118056420532
United Republic of Tanzania,2021,All ages,Both,Neoplasms,"Deaths per 100,000",51.731120072477005,40.765608903295536,64.79448518174408
Uganda,2021,All ages,Both,Neoplasms,"Deaths per 100,000",55.58743433004375,43.776895997082136,69.75239676785694
Ukraine,2021,All ages,Both,Neoplasms,"Deaths per 100,000",191.25171679245275,140.27765069343198,239.88405078350962
Uruguay,2021,All ages,Both,Neoplasms,"Deaths per 100,000",301.4016765805168,280.1658201759353,317.6402727457818
United States of America,2021,All ages,Both,Neoplasms,"Deaths per 100,000",215.00165780292477,196.13062576145646,225.66956464572914
Uzbekistan,2021,All ages,Both,Neoplasms,"Deaths per 100,000",53.363767502876314,45.32120788366309,62.32631700232256
Saint Vincent and the Grenadines,2021,All ages,Both,Neoplasms,"Deaths per 100,000",180.99699173589406,161.9412247389217,202.2798356342903
Venezuela (Bolivarian Republic of),2021,All ages,Both,Neoplasms,"Deaths per 100,000",128.41347054809376,99.99722799572336,163.03033236182355
United States Virgin Islands,2021,All ages,Both,Neoplasms,"Deaths per 100,000",196.6933679529737,158.22524569101293,248.16063581242085
Viet Nam,2021,All ages,Both,Neoplasms,"Deaths per 100,000",98.86903173387627,78.74776054855647,118.58131985100671
Vanuatu,2021,All ages,Both,Neoplasms,"Deaths per 100,000",55.3774882688608,45.455246968053956,67.30189622296257
Samoa,2021,All ages,Both,Neoplasms,"Deaths per 100,000",62.176942350296414,52.37385821726736,75.32044363197907
Yemen,2021,All ages,Both,Neoplasms,"Deaths per 100,000",34.97683199127749,23.32340609719418,47.23433286623412
South Africa,2021,All ages,Both,Neoplasms,"Deaths per 100,000",107.71876772555255,100.20636611046693,115.20826994501068
Zambia,2021,All ages,Both,Neoplasms,"Deaths per 100,000",60.53430316524784,41.3550639959354,90.23873980308987
Zimbabwe,2021,All ages,Both,Neoplasms,"Deaths per 100,000",90.3797556936873,71.08690810011744,113.71329749652672
Egypt,2021,All ages,Both,Neoplasms,"Deaths per 100,000",58.763926409162934,48.94461685645738,70.2721185766948
Sudan,2021,All ages,Both,Neoplasms,"Deaths per 100,000",37.22299229273919,26.70003766449154,49.92679746041992
China,2021,All ages,Both,Neoplasms,"Deaths per 100,000",198.05065419444077,165.0313347305178,236.22414542126066

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2021. Seattle, WA: IHME, University of Washington, 2023. Available from http://vizhub.healthdata.org/gbd-compare. (Accessed 7/27/2024)."
"For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
