Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Somalia,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",33.9608835114866,24.097587750600617,47.19569457071706
Serbia,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",46.37037415291441,38.531311376898024,54.605455852760485
South Sudan,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",38.57938292114842,28.18790546045776,51.54819634345323
Sao Tome and Principe,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",38.78063649513005,25.46197666295127,52.08591470042183
Suriname,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",40.09249922471559,30.72943812301216,49.08966615127867
Slovakia,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",50.86575006848956,42.65966817860509,59.11920900505248
Slovenia,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",45.79673473052918,39.507917902993896,50.96201203042662
Sweden,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",27.959007057818205,24.025102647626447,31.15054177404083
Eswatini,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",32.35541327438182,21.69921069701844,45.14166821597063
Seychelles,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",40.851870821158,34.964932083585346,46.67983085812562
Syrian Arab Republic,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",18.77684380932368,13.650754833098341,24.350997710211896
Chad,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",31.76941218966926,23.324042298654984,43.57738070194546
Togo,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",31.544177349799128,23.7935047027364,42.27958180800908
Thailand,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",53.196166881677364,42.103255578499244,66.1930488535746
Tajikistan,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",20.409779787401906,16.016761598882592,25.866237517096195
Tokelau,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",34.4290278675117,28.16299141359311,41.94523372322501
Turkmenistan,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",59.92228930271142,47.45966259881817,74.66304981975094
Timor-Leste,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",30.66314284635677,20.57681378147671,48.43376574298715
Tonga,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",38.20152703526025,29.700223429776575,48.89715070550237
Trinidad and Tobago,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",29.642336518629566,22.465506530218363,37.454332175770844
Tunisia,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",18.239605925965847,13.216309030769429,24.129202739569877
Türkiye,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",17.87649505187664,14.5445415934173,21.593991247445352
Tuvalu,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",34.088686341684735,27.31856059692762,42.922927091734294
Taiwan (Province of China),2021,All ages,Both,Digestive diseases,"Deaths per 100,000",41.61564841385249,37.47066638899918,45.36728294667951
United Republic of Tanzania,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",27.12249178270806,20.830814462097948,36.2443226631194
Uganda,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",20.29332890017415,14.821095179838272,27.406378160066577
Ukraine,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",55.78411914378127,41.46299284124764,71.70331203455754
Uruguay,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",43.08123544784104,39.34813964971079,45.841109460137744
United States of America,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",38.62308268855389,35.140521911063836,40.461222267886484
Uzbekistan,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",30.243138945275962,25.94443454065338,35.861290096979275
Saint Vincent and the Grenadines,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",38.525284232613515,34.01080879405366,43.52370631855683
Venezuela (Bolivarian Republic of),2021,All ages,Both,Digestive diseases,"Deaths per 100,000",32.32543350770542,23.641696701722765,41.82021880253493
United States Virgin Islands,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",35.554917655507,27.616291154545358,44.928848697826346
Viet Nam,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",32.34734113478872,24.622203132440536,40.31703922949409
Vanuatu,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",33.490045542936855,23.616942405630855,50.18840953430867
Samoa,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",22.179168727935938,16.449285155004038,28.39297103993658
Yemen,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",13.492526740718734,9.698551907102727,18.50350757918657
South Africa,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",27.25452855127015,24.916842458994406,29.458162740438347
Zambia,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",29.157294551901565,20.299203924113666,38.45693925955201
Zimbabwe,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",29.356335382755514,18.522455156375727,41.593803086201845
Egypt,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",50.146064950311214,40.62577479119932,60.914943538509114
Sudan,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",14.15308088397734,8.992770631627522,25.67708909555976
China,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",19.84341315216172,15.87117695459457,23.955827632647658

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2021. Seattle, WA: IHME, University of Washington, 2023. Available from http://vizhub.healthdata.org/gbd-compare. (Accessed 7/27/2024)."
"For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
